comments_es,satisfied
el banco brinda servicios que son excelentes y satisfacen mis necesidades el banco tiene sucursales ubicadas en areas convenientes,Positivo
harto del mal servicio al cliente de los bancos no es lo suficientemente bueno en absoluto,Negativo
recibi un excelente servicio de atencion al cliente y soporte bastante feliz con mi banco,Positivo
buena gama de servicios financieros proporcionados por este banco,Positivo
sin comentarios,Positivo
nada que agregar,Negativo
es bueno saber que mi banco participa activamente en el apoyo a los grupos locales estoy bastante satisfecho con mi banco,Positivo
todo esta bastante bien,Positivo
las tasas de ahorro son bajas podria cerrar mi cuenta,Negativo
los servicios son limitados para clientes como yo estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
nada que decir,Negativo
nada que agregar,Positivo
las tasas de ahorro son muy bajas no se lo recomendaria a un amigo,Negativo
el servidor proporcionado a sus clientes es muy irrespetuoso,Negativo
los servicios de este banco son demasiado limitados estoy pensando en cerrar mi cuenta,Negativo
el banco necesita asumir un papel mas activo en el area local el desempeno de este banco es inaceptable,Negativo
estoy bastante satisfecho con los servicios del banco en general es una opcion bancaria razonablemente buena,Positivo
el servicio al cliente es rudo comisiones demasiado altas para la banca el servicio de este banco es realmente inaceptable,Negativo
tratar con este banco es extremadamente inconveniente decepcionado con el servicio prestado por este banco,Negativo
la aplicacion movil del banco es realmente fantastica bastante bien en general pero podria hacerlo mejor,Neutro
la experiencia de banca en linea podria mejorarse esperaba un mayor nivel de servicio de este banco y me han decepcionado,Negativo
aplicacion movil bien disenada que es facil de usar incluso para personas como yo todo esta bastante bien,Positivo
estas tarifas por los servicios bancarios basicos no son razonables simplemente no es aceptable,Negativo
estoy encantado con los servicios bancarios generales que he recibido,Positivo
opcion bastante justa para la banca,Positivo
sin comentarios,Negativo
el servicio al cliente proporcionado por este banco es muy util en general una buena opcion para banca,Positivo
el banco apoya a mi equipo de futbol local,Positivo
el sitio web online del banco me parece fantastico,Positivo
no,Negativo
necesitas contribuir mas a nuestra localidad no he estado nada contento con el servicio de este banco,Negativo
el sitio web del banco me parece muy facil de usar en general es una opcion razonablemente buena para la banca,Positivo
este banco tiene buenas opciones para tasas hipotecarias y de ahorro la aplicacion movil del banco que ofrece el banco es segura y facil de usar el banco es decente en general,Positivo
su banco deberia ser mas proactivo a la hora de abordar las necesidades de la comunidad y mirar a otros bancos ahora,Negativo
sin comentarios,Negativo
prefiero no comentar sobre esto,Negativo
el banco ofrece una gama excepcional de servicios financieros,Positivo
servicio de atencion al cliente amable la proteccion de los datos de los clientes es un aspecto crucial para el banco,Positivo
su banco debe tomarse mas en serio la privacidad de los datos no siento que este banco valore mi negocio,Negativo
la banca en linea es realmente buena en general es una opcion razonable para realizar operaciones bancarias,Positivo
buena eleccion de productos hipotecarios,Positivo
el banco no esta haciendo lo suficiente para apoyar a las organizaciones locales creo que voy a cambiarme a un competidor,Negativo
la aplicacion de banca movil requiere mejoras simplemente no es aceptable,Negativo
aprecio el buen servicio al cliente brindado por este banco en general estoy bastante satisfecho,Positivo
existe una amplia red de cajeros automaticos que ofrece este banco en general estoy bastante contento con mi banco,Positivo
este banco ofrece buenas opciones de hipotecas y tasas de ahorro,Positivo
el servicio brindado por este bant esta muy decepcionado realmente inaceptable,Negativo
en general una buena opcion para realizar operaciones bancarias,Positivo
los servicios del banco me parecen bastante impresionantes supongo que todo es bastante decente en general,Positivo
tarifas exorbitantes en mi cuenta o creo que su banco puede mejorar en terminos de satisfaccion del cliente estoy considerando cambiar de pank debido al servicio consistentemente deficiente,Negativo
el banco ofrece una aplicacion movil segura y facil de usar en general estoy bastante feliz,Positivo
la banda ofrece buenas tasas de ahorro el servicio al cliente es uno de los aspectos mas fuertes de este banco uno de los mejores pank que existen,Positivo
las tarifas estan consumiendo mis ahorros realmente hay que mejorar las cosas aqui,Negativo
mi comunidad tiene suerte de tener un banco que realiza una labor benefica tan excelente,Positivo
el servicio al cliente no es solidario el banco deberia mejorar su portal de banca online mi insatisfaccion con el banco es tan grande que no lo recomendaria,Negativo
realmente aprecio la aplicacion movil de tge bank mw bank supero mis expectativas y estoy muy satisfecho en general,Positivo
en comparacion con otros bancos las tarifas de este banco son competitivas supongo que todo esta bien en general,Positivo
deja de aumentar las tasas de tu hipoteca el banco no esta haciendo lo suficiente para apoyar a las organizaciones locales esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
este banco cobra tarifas razonables por sus servicios en general estoy razonablemente satisfecho con mi banco,Positivo
los productos hipotecarios del banco son bastante restringidos totalmente decepcionado molesto con el servicio prestado,Negativo
su banco necesita intensificar y mejorar sus servicios,Negativo
las sucursales del banco estan en lugares muy inconvenientes podria cerrar mi cuenta ahora,Negativo
este banco ofrece buenas opciones de tasas hipotecarias y de ahorro en general estoy bastante contento con mi banco,Positivo
estoy completamente satisfecho con los servicios bancarios y en general soy un cliente satisfecho,Positivo
los cargos de mi cuenta no son demasiado caros,Positivo
su mal servicio me hace pensar en cambiar de banco,Negativo
las tasas hipotecarias son bastante razonables en este banco la plataforma en linea del banco es realmente impresionante,Positivo
buena aplicacion segura para telefonos moviles proporcionada por este banco estoy bastante contento con el servicio del banco,Positivo
no hay comentarios para agregar aqui,Negativo
las tasas de ahorro que ofrece este banco son bastante competitivas,Positivo
el banco deberia demostrar un mayor compromiso con la responsabilidad social las tasas hipotecarias del banco son excesivamente altas mi experiencia con el servicio de este banco ha sido tan negativa que no se lo recomendaria a nadie,Negativo
los cargos de mi cuenta no son tan malos en general los ladrones son buenos pero hay margen de mejora,Neutro
el banco ofrece buenas tasas de ahorro bastante satisfecho en general,Positivo
no,Positivo
el banco deberia demostrar un mayor compromiso con la responsabilidad social mi experiencia con este servicio bancario ha sido tan negativa que no se lo recomendaria a nadie,Negativo
simplemente no es aceptable,Negativo
los servicios de su banco tienen un alcance limitado los servicios realmente necesitan mejorarse en este banco,Negativo
se necesitan mas productos financieros para personas como yo decepcionado con el servicio brindado por este banco,Negativo
la experiencia web del banco es decepcionante el servicio de atencion al cliente del banco es bastante descortes podria cerrar mi cuenta ahora,Negativo
nada que comentar,Positivo
nada mas,Negativo
el banco quiere hacer mas por la comunidad simplemente no es aceptable,Negativo
razonablemente feliz en general,Positivo
el servicio brindado a sus clientes es consistentemente decepcionante esperaba un mayor nivel de servicio de este banco y me han decepcionado,Negativo
completamente decepcionado molesto con el servicio brindado,Negativo
el servicio al cliente de este banco es realmente malo estoy extremadamente insatisfecho con el servicio brindado por su banco,Negativo
sin comentarios,Negativo
el nivel de servicio al cliente proporcionado por este banco es de primer nivel las sucursales bancarias son bastante accesibles en terminos generales las cosas estan bastante bien pero podrian mejorar,Neutro
productos hipotecarios muy limitados,Negativo
su banco deberia retribuir a la comunidad local realmente no estoy contento contigo,Negativo
el banco realmente deberia contribuir mas a nuestra comunidad no estoy seguro de que me quede en tu banco mucho mas tiempo,Negativo
la banca en linea es realmente buena hay margen de mejora en este banco,Positivo
muy pocos cajeros automaticos para este tablon servicio al cliente de baja calidad estoy completamente decepcionado con el nivel de servicio brindado por esta tabla,Negativo
sus tasas hipotecarias son mas altas que las de otros bancos esto es inaceptable,Negativo
estoy pensando en cerrar mi cuenta,Negativo
estas tarifas por servicios bancarios basicos no son razonables le insto a que se esfuerce mas para mejorar sus servicios bancarios,Negativo
puedes reducir tus tarifas mensuales,Negativo
necesidad de ampliar su gama de productos financieros podria cerrar mi cuenta ahora,Negativo
las sucursales bancarias son dificiles de encontrar,Negativo
el servicio al cliente es rudo las tasas hipotecarias son demasiado altas el servicio de este banco es realmente inaceptable,Negativo
las tarifas mensuales de este banco son asequibles uno de los mejores bancos que existen,Positivo
plank se toma en serio la privacidad de los datos gracias por tu servicio,Positivo
sin comentarios,Negativo
realmente mal servicio por tu parte,Negativo
las comisiones bancarias son manejables este banco es bastante decente en general,Positivo
sin comentarios,Negativo
el servicio al cliente no es bueno servicio realmente pobre en general considerando cambiar de banco,Negativo
las tasas hipotecarias son una carga demasiado grande considerando seriamente cambiarse a un banco rival,Negativo
hartos del mal servicio al cliente del banco lo que experimente simplemente no es aceptable,Negativo
encontrar sucursales bancarias es bastante dificil no estoy contento con el servicio que recibi y no sugeriria que lo fuera a cualquier otra persona,Negativo
la experiencia de servicio al cliente es decepcionante la aplicacion del telefono es dificil de usar realmente es necesario mejorar las cosas aqui,Negativo
me gustaria verte contribuir con mas trto a la comunidad la aplicacion movil es realmente pobre este servicio de pank es realmente inaceptable,Negativo
no me gusta la aplicacion movil el servicio de atencion al cliente de los bancos es bastante descortes esperaba un mejor nivel de servicio de mi banco y me siento decepcionado,Negativo
el medio ambiente deberia ser una prioridad para su banco realmente mal servicio te amo,Negativo
deje de aumentar las tasas de su hipoteca no siento que este banco valore mi negocio,Negativo
el banco ofrece una gama excepcional de servicios financieros en general este banco es aceptable,Positivo
prefiero no comentar sobre esto,Positivo
el servicio de atencion al cliente de los bancos no coopera estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
sin comentarios,Positivo
estoy orgulloso de acostarme con un cliente de un banco que invierte en la economia local bastante satisfecho con mi banco,Positivo
el servicio de atencion al cliente no es util,Negativo
realmente no satisfecho,Negativo
no entiendo por que me cobran tantos honorarios no hay muchas sucursales bancarias por aqui,Negativo
el banco necesita involucrarse mas en los eventos comunitarios no feliz no se lo recomendaria a un amigo,Negativo
las ofertas de hipotecas de los bancos son muy limitadas,Negativo
no aplicable,Negativo
su banco deberia ser mas considerado con el medio ambiente,Negativo
en general estoy contento con el servicio de bant,Positivo
es fantastico ver que mi banco apoya a los equipos deportivos locales,Positivo
bastante satisfecho con mi banco,Positivo
productos hipotecarios muy limitados,Negativo
el servicio a los clientes es una falta de respeto,Negativo
la privacidad se toma en serio muchos cajeros automaticos para este banco en general este banco es aceptable,Positivo
por que sus honorarios son tan altos muy pocas sucursales para este banco no se lo recomendaria a un amigo,Negativo
sin comentarios,Positivo
no te guste la aplicacion de telefono de tu pank,Negativo
sin comentarios,Positivo
el enfoque de los bancos en la seguridad de la banca en linea es tranquilizador en general este banco es aceptable,Positivo
deje de aumentar las tasas de su hipoteca realmente pobre en general gracias cambiare de banco pronto,Negativo
me gusta que mi banco este comprometido a marcar la diferencia en el mundo gracias,Positivo
la participacion comunitaria es una oportunidad para que la banda marque la diferencia este banco no esta a la altura,Negativo
el banco debe tener mas cuidado con los datos de los clientes estoy considerando seriamente cambiarme a otro banco,Negativo
estoy realmente decepcionado con el servicio al cliente estoy decepcionado con el servicio que brinda este banco y estoy considerando trasladar mi negocio a otro lugar,Negativo
las tarifas por usar este banco son demasiado,Negativo
tsis bank esta realmente comprometido a retribuir a la comunidad buenas manzanas seguras para telefonos moviles proporcionadas por este banco al banco le va bien en general,Positivo
es hora de que su banco realice cambios significativos y contribuya a un futuro mas ecologico estoy considerando seriamente llevar mi negocio a otra parte,Negativo
estoy satisfecho con las tarifas y cargos de mi cuenta todo esta bastante bien,Positivo
es necesario anadir mas productos financieros a la oferta del banco considerando seriamente cambiarse a un banco rival,Negativo
sin comentarios,Negativo
mi descontento con el banco es tan grande que no lo recomendaria,Negativo
sin comentarios,Negativo
realmente preocupado por como manejas mis datos no entiendo por que me cobran tantas tarifas mi descontento con el banco es tan grande que no lo recomendaria,Negativo
no es nada bueno,Negativo
el banco tiene muy pocos servicios que cumplan con mis requisitos,Negativo
su banco deberia retribuir a la comunidad local no es lo suficientemente bueno en absoluto,Negativo
el servicio al cliente del banco es insatisfactorio no creo que este banco valore mi negocio,Negativo
el portal de banca online del banco es de primera categoria,Positivo
simplemente no es aceptable,Negativo
las sucursales bancarias son realmente dificiles de encontrar,Negativo
tenkes,Positivo
las tasas de ahorro proporcionadas por el banco son buenas y beneficiosas para los clientes,Positivo
las tasas hipotecarias del banco son justas en comparacion con las de otros bancos las cosas estan bastante bien pero podrian mejorar,Neutro
el banco pone gran enfasis en la proteccion de los datos de los clientes,Positivo
el banco necesita asumir un papel mas activo en el area local el servicio de este banco es realmente inaceptable,Negativo
las tarifas por abrir una nueva cuenta son demasiado altas los servicios realmente necesitan mejorarse en este banco,Negativo
realmente estoy preocupado por como manejas mis datos tu banco necesita concentrarse en brindar una mejor atencion al cliente realmente no estoy contento contigo,Negativo
aprecio que mi banco se dedique a la sostenibilidad y a reducir su huella de carbono muchos cajeros automaticos para este banco,Positivo
no,Positivo
el banco ofrece excelentes servicios adaptados a personas como yo estoy bastante satisfecho con mi banco,Positivo
encontrar sucursales bancarias es bastante dificil servicio realmente pobre en general considerando cambiar de banco,Negativo
hay servicios limitados disponibles para mis necesidades especificas,Negativo
el servicio al cliente de este banco es extremadamente pobre no me gusta el sitio web en linea del banco realmente no satisfecho,Negativo
realmente preocupado por como manejas mis datos estoy considerando cambiar de pank debido al consistentemente mal servicio,Negativo
el banco ofrece solo unos pocos servicios para mis oidos no feliz no se lo recomendaria a amigos,Negativo
estoy pensando seriamente en cambiarme de banco,Negativo
estoy satisfecho con el servicio brindado,Positivo
la experiencia de la aplicacion movil es decepcionante esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
considere seriamente cambiarse a un banco rival,Negativo
las tasas de interes de ahorro proporcionadas por este banco son impresionantes los honorarios cobrados son razonables en general estoy bastante satisfecho con mi banco,Positivo
el banco se toma en serio la privacidad de los datos estoy bastante contento con el servicio del banco,Positivo
el banco tiene una gama limitada de servicios el mal desempeno general del banco me hizo decidir cambiarme pronto,Negativo
la aplicacion movil es realmente pobre decepcionado con el servicio brindado por este banco,Negativo
servicio realmente pobre en general considerando cambiar de banco,Negativo
bajas tasas de interes de ahorro,Negativo
la aplicacion movil necesita ser mas segura el banco podria tener un mayor impacto en la comunidad,Negativo
bastante feliz con mi banco,Positivo
nada que decir,Negativo
necesidad de ampliar su gama de productos financieros el servicio prestado al cliente no es util,Negativo
estoy considerando cambiar de banco debido al mal servicio constante,Negativo
las tasas hipotecarias son competitivas en general estoy razonablemente satisfecho con mi banco,Positivo
estoy satisfecho con las tarifas y cargos de mi cuenta,Positivo
estoy agradecido de que mi banco apoye tanto a nuestras escuelas como al centro comunitario en general estoy muy contento con el servicio prestado por mi banco,Positivo
buena aplicacion segura para telefonos moviles proporcionada por este banco,Positivo
los telefonos de los bancos con manzanas son realmente geniales en general estoy contento con el servicio pank,Positivo
la aplicacion del telefono es dificil de usar,Negativo
el servicio al cliente es desagradable y nada bueno,Negativo
las tasas de interes de ahorro que ofrece este banco son bastante buenas en general todo esta bastante bien pero podria mejorar,Neutro
las tasas de ahorro que ofrece el banco se encuentran entre las mejores del mercado en general estoy razonablemente satisfecho con may bank,Positivo
el banco ofrece una extensa red de cajeros automaticos el banco y su personal han sido excepcionales y estoy completamente impresionado,Positivo
la aplicacion movil del banco hace que realizar operaciones bancarias sobre la marcha sea muy sencillo,Positivo
debe tomarse mas en serio la privacidad de los datos podria cerrar mi cuenta ahora,Negativo
los servicios de su banco tienen un alcance limitado,Negativo
considere seriamente cambiarse a un banco rival,Negativo
gracias,Positivo
su banco deberia dar prioridad a las preocupaciones medioambientales no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie,Negativo
ok tarifas hay margen de mejora en este banco,Positivo
las tasas de ahorro son inaceptablemente bajas falta de servicios para mis necesidades especiales creo que me cambiare a un competidor,Negativo
las comisiones bancarias son inasequibles los productos financieros de los bancos deben ser mas diversos la calidad del servicio al cliente de su banco ha sido deficiente estoy realmente tentado a cambiarme a uno de sus competidores,Negativo
esta todo bastante bien,Positivo
las sucursales no son nada convenientes no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie mas,Negativo
sin comentarios,Positivo
no estoy seguro de haber torturado este problema con mis datos los servicios de su banco tienen un alcance limitado el bajo rendimiento general de los bancos me hizo decidir cambiarme pronto,Negativo
este banco tiene una impresionante seleccion de opciones hipotecarias en general estoy bastante feliz,Positivo
mi comunidad tiene suerte de tener un banco que realiza una labor benefica tan excelente razonablemente feliz en general,Positivo
el banco tiene una gama limitada de servicios que me atienden tu aplicacion movil no funciona estoy decepcionado con el servicio brindado,Negativo
las tasas de interes de ahorro del banco son extremadamente bajas creo que su banco puede hacerlo mejor en terminos de satisfaccion del cliente realmente no estoy contento contigo,Negativo
la experiencia de la banca en linea es insatisfactoria considerando seriamente cambiarse a un banco rival,Negativo
las tarifas de este banco no son transparentes si nos fijamos en otros bancos ahora,Negativo
la aplicacion de telefono proporcionada por el banco es realmente util supongo que en general todo es bastante decente,Positivo
el nivel de servicio al cliente proporcionado por este banco es de primer nivel la banca en linea es realmente buena es muy buena y definitivamente se lo recomendaria a un amigo,Positivo
creo que el banco tiene el potencial de tener un impacto positivo en la comunidad si tan solo se esforzara un poco mas no siento que este banco valore mi negocio,Negativo
las ofertas hipotecarias del banco son muy limitadas el servicio de este banco es realmente inaceptable,Negativo
en general diria que las cosas estan bien,Positivo
realmente incomodo tratar con este banco la falta de participacion comunitaria por parte del banco es decepcionante estoy considerando seriamente cambiarme a otro banco,Negativo
este banco ofrece una aplicacion para telefono movil buena y segura supongo que en general todo esta bien,Positivo
considerando seriamente cambiarse a un banco rival,Negativo
las tasas hipotecarias son una carga demasiado grande podria cerrar mi cuenta ahora,Negativo
sin comentarios,Negativo
la experiencia de la aplicacion movil podria ser mejor lo que experimente simplemente no es aceptable,Negativo
las ofertas hipotecarias del banco son muy limitadas realmente no estoy contento contigo,Negativo
en general estoy bastante feliz,Positivo
realmente aprecio la aplicacion movil del banco bastante buena opcion para banca,Positivo
no hay muchas sucursales en esta zona esperaba un mejor servicio de este banco y me decepciono,Negativo
decepcionado con el servicio brindado por este banco,Negativo
el banco tiene una gama limitada de servicios que me atienden el desempeno de este banco es inaceptable,Negativo
lo que experimente simplemente no es aceptable,Negativo
se necesitan mas productos financieros para personas como yo,Negativo
en general estas haciendo un trabajo decente,Positivo
siempre he tenido una gran experiencia con el servicio al cliente del banco esta todo bastante bien,Positivo
no contento con las tarifas realmente mal servicio por tu parte,Negativo
prefiero no comentar sobre eso,Negativo
gland que se toma en serio la seguridad de la banca en linea supuse que todo esta bien en general,Positivo
estoy cansado del mal servicio al cliente del banco estoy considerando cambiar de banco debido al mal servicio constante,Negativo
no puedo permitirme seguir pagando estos altos piensos,Negativo
mi insatisfaccion con el banco es tan grande que no lo recomendaria,Negativo
en general estoy bastante satisfecho con mi banco,Positivo
falta la calidad del servicio al cliente brindado por su banco esta experiencia me ha resultado muy frustrante,Negativo
las ofertas hipotecarias del banco son muy limitadas,Negativo
las tasas hipotecarias proporcionadas por este banco son competitivas,Positivo
el banco deberia ofrecer mas opciones a clientes como yo totalmente decepcionado molesto con el servicio prestado,Negativo
el banco debe hacer de la privacidad de las fechas una maxima prioridad las ofertas hipotecarias del banco son muy limitadas me ha decepcionado el servicio prestado,Negativo
sin comentarios,Positivo
el banco deberia demostrar un mayor compromiso con la responsabilidad social realmente es necesario mejorar las cosas aqui,Negativo
sus tipos hipotecarios son desorbitados realmente pobre en general creo que cambiare de banco pronto,Negativo
la experiencia web de los bancos es decepcionante,Negativo
sin comentarios,Positivo
su mal servicio me esta haciendo cambiar de banco,Negativo
la aplicacion del telefono es util,Positivo
las tasas hipotecarias son demasiado altas la aplicacion de telefono del banco no es facil de usar las cosas realmente necesitan que mejoremos aqui,Negativo
el servicio brindado por este banco es muy decepcionante creo que cerrare mi cuenta,Negativo
necesitamos mas sucursales el mal desempeno general del banco nos ha hecho decidir cambiar pronto,Negativo
las ubicaciones son incomodas el banco tiene muy pocos servicios que cumplan con mis requisitos estoy considerando seriamente cambiarme a otro banco,Negativo
sin comentarios,Negativo
sin comentarios,Negativo
buenos servicios para gente como yo las tasas hipotecarias del banco tambien son justas otro pank,Positivo
en general lo estas haciendo bien,Positivo
el servicio de atencion al cliente del banco hizo que mi experiencia bancaria fuera facil y sin estres en general estoy bastante satisfecho con mi tabla,Positivo
buena opcion para bank inn irlanda,Positivo
esto no es lo suficientemente bueno,Negativo
la aplicacion movil es confiable y eficiente bien en general,Positivo
las tasas de interes de las hipotecas de viviendas son demasiado altas en estos dias lamento haber abierto una cuenta en este banco,Negativo
sin comentarios,Negativo
la implicacion comunitaria de este banco es algo que realmente valoro,Positivo
se necesita transparencia sobre como utiliza mis datos podria cerrar mi cuenta,Negativo
el banco no esta haciendo lo suficiente para apoyar a las organizaciones locales realmente no estoy contento con este banco,Negativo
en general estoy muy contento con mi banco,Positivo
estoy decepcionado con los honorarios que me cobran,Negativo
la falta de participacion de la comunidad por parte del banco es decepcionante mi insatisfaccion con el banco es tan grande que no lo recomendaria,Negativo
necesito hacerlo mejor en el futuro,Negativo
se podria mejorar la experiencia de banca online dejen de subir las tasas de interes hipotecarias estoy considerando cambiar de banco debido al constante mal servicio,Negativo
su banco deberia mostrar mas preocupacion por el medio ambiente realmente no estoy satisfecho,Negativo
la experiencia de la banca en linea es insatisfactoria se necesita transparencia sobre como utilizas mis datos,Negativo
las tasas de interes de las hipotecas son demasiado costosas esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
en terminos generales las cosas estan bastante bien pero podrian mejorar,Neutro
las ubicaciones son convenientes en general las cosas van bien pero se puede mejorar,Neutro
la aplicacion movil proporcionada por el banco es confiable y segura,Positivo
las tarifas por usar este banco son demasiado lo que experimente simplemente no es aceptable,Negativo
prefiero no comentar,Negativo
nada que decir,Negativo
estoy impresionado con el nivel de servicio al cliente que ofrece este banco estoy satisfecho con el servicio brindado,Positivo
todo bien,Positivo
en general una buena opcion para banca,Positivo
la aplicacion movil es facil de usar servicio general decente pero todavia hay margen de mejora,Neutro
sin comentarios,Positivo
estoy cansado del mal servicio al cliente del banco no es suficiente para nada,Negativo
existe una amplia red de cajeros automaticos que ofrece este banco las comisiones bancarias son competitivas,Positivo
sin comentarios,Positivo
la aplicacion movil es genial tuve una experiencia positiva con el servicio de atencion al cliente del banco,Positivo
las tarifas por realizar transferencias bancarias son demasiado altas estoy decepcionado con el servicio brindado,Negativo
muy pocos cajeros automaticos para este banco mi descontento con el banco es tan grande que no lo recomendaria,Negativo
el servicio brindado a sus clientes es muy irrespetuoso creo que voy a cambiarme a un competidor,Negativo
las sucursales de los bancos son buenas ubicaciones en resumen estoy razonablemente contento,Positivo
por que este banco tiene comisiones tan altas creo que el banco tiene el potencial de generar un impacto positivo en la comunidad si tan solo se esforzara un poco mas su banco deberia centrarse en la capacitacion en servicio al cliente,Negativo
las tarifas para las transacciones en cajeros automaticos son demasiado altas podria cerrar mi cuenta,Negativo
necesitas contribuir mas a nuestra localidad creo que cerrare mi cuenta,Negativo
el banco se toma en serio la privacidad de los datos,Positivo
necesito hacer un futuro mejor,Negativo
el banco ofrece servicios que se adaptan a mis necesidades en general estoy bastante contento con mi banco,Positivo
su banco debe dar un paso al frente y demostrar una mayor responsabilidad medioambiental,Negativo
se han cerrado muchas sucursales bancarias en nuestra zona podria cerrar mi cuenta,Negativo
este banco ofrece excelentes servicios que se adaptan a mis necesidades no podria estar mas feliz con mi banco y el servicio que brinda,Positivo
creo que la aplicacion movil que ofrece el banco es excelente,Positivo
este banco ofrece excelentes servicios que se adaptan a mis necesidades,Positivo
en general una buena opcion para banca,Positivo
por favor dejen de aumentar las tasas de interes hipotecarias su banco deberia mostrar mas preocupacion por el medio ambiente,Negativo
el mal servicio general del banco me hace considerar cambiar,Negativo
las tasas hipotecarias que ofrece este banco son impresionantes estoy bastante contento con el banco,Positivo
las tarifas ofrecidas por el banco son bastante competitivas razonablemente feliz en general,Positivo
estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otra parte,Negativo
nada que agregar,Negativo
es bueno saber que mi banco se dedica a donaciones caritativas en general estoy bastante satisfecho con mi bant,Positivo
la banca en linea es conveniente y facil con este banco estoy bastante contento con mi banco,Positivo
el servicio de atencion al cliente del banco es irritante,Negativo
el servicio de atencion al cliente no es util decepcionado con el servicio prestado por este banco,Negativo
es dificil encontrar cajeros automaticos para este banco en general muy mal creo que pronto cambiare de banco,Negativo
servicio al cliente bastante bueno estoy bastante contento con el servicio del banco,Positivo
las tasas de interes de ahorro que usted ofrece son notablemente legales considerando seriamente cambiar a un banco rival,Negativo
buena opcion para realizar operaciones bancarias en irlanda,Positivo
el nivel de servicio al cliente proporcionado por este banco es de primer nivel todo esta bastante bien,Positivo
cargos escandalosos por servicios bancarios basicos completamente decepcionado molesto con el servicio brindado,Negativo
el servicio al cliente no es util realmente mal servicio por tu parte,Negativo
hay margen de mejora en este banco,Positivo
podria cerrar mi cuenta,Negativo
las tasas hipotecarias del banco son excesivamente altas realmente no satisfecho,Negativo
sin comentarios,Negativo
saber comentarsin comentarios,Negativo
el banco deberia priorizar la privacidad de los datos,Negativo
muy incomodo para acudir a las sucursales del banco creo que voy a cambiarme a un competidor,Negativo
la aplicacion movil del banco necesita mejoras esto es inaceptable y debe abordarse,Negativo
la aplicacion del telefono es dificil de usar no es lo suficientemente bueno en absoluto,Negativo
la aplicacion movil proporcionada por el banco es realmente comoda bastante buena opcion para banca,Positivo
falta de servicios para mis necesidades especificas realmente es necesario mejorar las cosas aqui,Negativo
se proporciona un buen conjunto de productos financieros buena opcion para realizar operaciones bancarias en irlanda,Positivo
el servicio al cliente del banco es excepcional estoy bastante contento con el servicio del banco,Positivo
sin comentarios,Negativo
creo que las manzanas moviles proporcionadas por el banco son excelentes en general estoy bastante feliz,Positivo
el servicio al cliente en este banco es de primera,Positivo
es necesario mejorar la seguridad de la aplicacion movil esperaba un mayor nivel de servicio de este banco y me decepcionaron,Negativo
este banco ofrece una variedad de productos financieros que son utiles,Positivo
cargos mensuales razonables por servicios bancarios razonablemente satisfechos en general,Positivo
la aplicacion movil no sirve creo que cerrare mi cuenta,Negativo
el representante de servicio al cliente es muy amable y servicial,Positivo
la aplicacion movil del banco no es satisfactoria,Negativo
en general estoy bastante contento con mi banco,Positivo
los cargos no son tan malos muy contento con mi banco,Positivo
lo estas haciendo bien,Positivo
mal servicio al cliente es necesario mejorar la seguridad de la aplicacion movil esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
los cargos son bastante justos por los servicios prestados por este banco,Positivo
la privacidad de los datos se toma en serio estoy muy satisfecho con los servicios bancarios y el apoyo que he recibido,Positivo
gland your banks se toma en serio nuestra privacidad,Positivo
podria cerrar mi cuenta ahora,Negativo
realmente es necesario mejorar las cosas aqui,Negativo
mal servicio al cliente realmente inaceptable,Negativo
este banco es bastante decente en general,Positivo
el banco deberia intensificar sus esfuerzos para apoyar a las organizaciones beneficas y locales quede profundamente decepcionado con el servicio prestado por el banco,Negativo
el banco podria hacer mas para proteger el medio ambiente este banco no esta a la altura,Negativo
la aplicacion de banca movil requiere mejoras las cosas realmente necesitan mejorarse aqui,Negativo
el mal desempeno general de los bancos me llevo a cambiar pronto,Negativo
el banco deberia ofrecer mas opciones para clientes como yo no estoy seguro de permanecer en este banco por mucho mas tiempo,Negativo
me alegra que sus bancos se tomen en serio nuestra privacidad se lo facil que es acceder a mi cuenta en linea en general soy un cliente satisfecho,Positivo
las tasas ofrecidas por el banco son bastante competitivas bastante feliz con mi banco,Positivo
la banca en linea del banco es excelente definitivamente estoy satisfecho con los servicios bancarios y no tengo ninguna queja,Positivo
bajas tasas de interes de ahorro debe esforzarse mas,Negativo
la banca en linea del banco es inadecuada estoy pensando en cambiar de banco debido al mal servicio que siempre ofrecen,Negativo
considere seriamente cambiarse a un banco rival,Negativo
las tasas de las hipotecas son demasiado costosas creo que voy a cambiarme a un competidor,Negativo
la calidad del servicio al cliente de este banco es terrible la experiencia con la aplicacion movil podria ser mejor estoy pensando en cerrar mi cuenta,Negativo
sin comentarios,Positivo
el banco podria ofrecer mas opciones para clientes como yo mirando a otros bancos ahora,Negativo
es un desafio localizar sucursales bancarias,Negativo
no hay muchas sucursales bancarias por aqui estoy considerando seriamente llevar mi negocio a otra parte,Negativo
el banco podria ofrecer mas opciones para clientes como yo realmente no satisfecho,Negativo
