satisfied,comments_es
Negativo,El asesor financiero está funcionando de forma decepcionante no lo recomendaría a nadie.
Positivo,La aplicación me parece que es profesional lo que me da mucha tranquilidad.
Positivo,Mi banca en línea es verdaderamente transparente muy recomendable para todos.
Negativo,Mi banca en línea está funcionando de forma complicada no lo recomendaría a nadie.
Positivo,El portal web resulta ser muy rápida y no tengo quejas.
Negativo,La tarjeta de débito es bastante mediocre muy frustrante el proceso.
Negativo,La tarjeta de débito se ha vuelto confusa exijo una solución pronto.
Positivo,El soporte por chat resulta ser muy segura lo que me da mucha tranquilidad.
Positivo,El servicio de préstamos me parece que es amigable lo que me da mucha tranquilidad.
Positivo,La atención en ventanilla me parece que es segura un gran beneficio para mí.
Negativo,Mi banca en línea está funcionando de forma complicada un desastre total.
Positivo,El cajero automático es verdaderamente excelente la mejor experiencia que he tenido.
Negativo,La tarjeta de débito está funcionando de forma confusa un desastre total.
Negativo,La atención en ventanilla se ha vuelto ineficiente muy frustrante el proceso.
Positivo,El asesor financiero es verdaderamente excelente un gran beneficio para mí.
Positivo,El cajero automático resulta ser muy profesional realmente superó mis expectativas.
Positivo,El asesor financiero me parece que es impecable realmente superó mis expectativas.
Negativo,La aplicación es bastante ineficiente y me hace perder mucho tiempo.
Positivo,La aplicación se nota que es segura lo que me da mucha tranquilidad.
Positivo,La tarjeta de débito se nota que es transparente justo lo que buscaba.
Positivo,El portal web me parece que es transparente muy recomendable para todos.
Negativo,El portal web se ha vuelto confusa y las comisiones son un robo.
Positivo,La gestión de mi hipoteca resulta ser muy excelente la mejor experiencia que he tenido.
Negativo,El servicio de préstamos es bastante deficiente un desastre total.
Positivo,Mi banca en línea siempre funciona de forma rápida justo lo que buscaba.
Positivo,El soporte por chat siempre funciona de forma impecable y no tengo quejas.
Negativo,El portal web se ha vuelto pésima y me hace perder mucho tiempo.
Positivo,El servicio de préstamos es verdaderamente profesional realmente superó mis expectativas.
Positivo,El servicio de préstamos siempre funciona de forma impecable justo lo que buscaba.
Negativo,El asesor financiero es bastante ineficiente exijo una solución pronto.
Negativo,La gestión de mi hipoteca está funcionando de forma ineficiente un desastre total.
Positivo,La tarjeta de débito me parece que es excelente justo lo que buscaba.
Positivo,La aplicación se nota que es rápida lo que me da mucha tranquilidad.
Positivo,El portal web me parece que es excelente un gran beneficio para mí.
Negativo,El soporte por chat se ha vuelto ineficiente un desastre total.
Positivo,El asesor financiero se nota que es amigable y no tengo quejas.
Positivo,El servicio de préstamos es verdaderamente rápida lo que me da mucha tranquilidad.
Negativo,El portal web se ha vuelto lenta un desastre total.
Positivo,El asesor financiero siempre funciona de forma profesional y no tengo quejas.
Positivo,El portal web se nota que es segura justo lo que buscaba.
Negativo,El cajero automático resulta ser una ineficiente un desastre total.
Positivo,Mi banca en línea es verdaderamente impecable la mejor experiencia que he tenido.
Negativo,El cajero automático está funcionando de forma ineficiente muy frustrante el proceso.
Positivo,Mi banca en línea resulta ser muy impecable y no tengo quejas.
Negativo,El cajero automático está funcionando de forma confusa un desastre total.
Negativo,El asesor financiero está funcionando de forma lenta y las comisiones son un robo.
Negativo,El asesor financiero está funcionando de forma deficiente un desastre total.
Negativo,El servicio de préstamos está funcionando de forma decepcionante exijo una solución pronto.
Positivo,La atención en ventanilla resulta ser muy eficiente muy recomendable para todos.
Positivo,La gestión de mi hipoteca me parece que es excelente y no tengo quejas.
Negativo,El servicio de préstamos resulta ser una pésima es una falta de respeto.
Positivo,El soporte por chat se nota que es rápida lo que me da mucha tranquilidad.
Positivo,La atención en ventanilla siempre funciona de forma excelente un gran beneficio para mí.
Positivo,El cajero automático es verdaderamente rápida un gran beneficio para mí.
Positivo,La atención en ventanilla resulta ser muy transparente muy recomendable para todos.
Negativo,La tarjeta de débito es bastante confusa no lo recomendaría a nadie.
Negativo,La aplicación se ha vuelto complicada y las comisiones son un robo.
Positivo,El asesor financiero es verdaderamente profesional la mejor experiencia que he tenido.
Negativo,La atención en ventanilla resulta ser una complicada muy frustrante el proceso.
Negativo,El servicio de préstamos resulta ser una ineficiente y las comisiones son un robo.
Positivo,El soporte por chat siempre funciona de forma impecable realmente superó mis expectativas.
Negativo,Mi banca en línea se ha vuelto deficiente un desastre total.
Negativo,El servicio de préstamos está funcionando de forma deficiente estoy muy insatisfecho.
Negativo,El servicio de préstamos se ha vuelto lenta no lo recomendaría a nadie.
Positivo,El cajero automático me parece que es impecable lo que me da mucha tranquilidad.
Negativo,El asesor financiero resulta ser una pésima estoy muy insatisfecho.
Positivo,La aplicación siempre funciona de forma excelente y no tengo quejas.
Positivo,La tarjeta de débito es verdaderamente rápida y no tengo quejas.
Positivo,La atención en ventanilla resulta ser muy segura lo que me da mucha tranquilidad.
Negativo,La gestión de mi hipoteca resulta ser una lenta es una falta de respeto.
Negativo,La aplicación está funcionando de forma ineficiente estoy muy insatisfecho.
Positivo,La atención en ventanilla es verdaderamente profesional lo que me da mucha tranquilidad.
Negativo,La tarjeta de débito está funcionando de forma confusa estoy muy insatisfecho.
Positivo,El soporte por chat es verdaderamente excelente muy recomendable para todos.
Positivo,La tarjeta de débito es verdaderamente amigable lo que me da mucha tranquilidad.
Positivo,El asesor financiero siempre funciona de forma impecable la mejor experiencia que he tenido.
Negativo,La aplicación es bastante complicada un desastre total.
Negativo,El portal web resulta ser una mediocre y las comisiones son un robo.
Negativo,El portal web me parece muy decepcionante muy frustrante el proceso.
Positivo,Mi banca en línea es verdaderamente rápida y el proceso fue muy fluido.
Positivo,El portal web se nota que es excelente realmente superó mis expectativas.
Positivo,El asesor financiero siempre funciona de forma profesional realmente superó mis expectativas.
Negativo,El portal web se ha vuelto complicada estoy muy insatisfecho.
Negativo,Mi banca en línea se ha vuelto lenta no lo recomendaría a nadie.
Positivo,Mi banca en línea se nota que es transparente un gran beneficio para mí.
Positivo,La aplicación se nota que es rápida realmente superó mis expectativas.
Negativo,El cajero automático se ha vuelto ineficiente un desastre total.
Negativo,El cajero automático me parece muy mediocre estoy muy insatisfecho.
Negativo,Mi banca en línea resulta ser una complicada y las comisiones son un robo.
Positivo,La tarjeta de débito siempre funciona de forma segura justo lo que buscaba.
Positivo,La gestión de mi hipoteca me parece que es segura y no tengo quejas.
Negativo,Mi banca en línea me parece muy confusa un desastre total.
Negativo,Mi banca en línea se ha vuelto deficiente no lo recomendaría a nadie.
Negativo,La atención en ventanilla se ha vuelto confusa estoy muy insatisfecho.
Negativo,La tarjeta de débito se ha vuelto mediocre y las comisiones son un robo.
Positivo,El asesor financiero es verdaderamente excelente muy recomendable para todos.
Negativo,La gestión de mi hipoteca está funcionando de forma decepcionante y me hace perder mucho tiempo.
Negativo,Mi banca en línea es bastante confusa exijo una solución pronto.
Negativo,El soporte por chat es bastante deficiente exijo una solución pronto.
Positivo,Mi banca en línea me parece que es transparente lo que me da mucha tranquilidad.
Negativo,El cajero automático resulta ser una lenta un desastre total.
Positivo,La aplicación siempre funciona de forma eficiente muy recomendable para todos.
Negativo,El servicio de préstamos resulta ser una pésima un desastre total.
Positivo,El portal web es verdaderamente profesional lo que me da mucha tranquilidad.
Positivo,Mi banca en línea resulta ser muy eficiente la mejor experiencia que he tenido.
Negativo,El cajero automático se ha vuelto ineficiente muy frustrante el proceso.
Negativo,El asesor financiero me parece muy ineficiente exijo una solución pronto.
Negativo,La gestión de mi hipoteca es bastante confusa muy frustrante el proceso.
Negativo,El soporte por chat resulta ser una lenta estoy muy insatisfecho.
Negativo,El asesor financiero me parece muy decepcionante es una falta de respeto.
Positivo,Mi banca en línea resulta ser muy excelente lo que me da mucha tranquilidad.
Negativo,El asesor financiero me parece muy ineficiente estoy muy insatisfecho.
Positivo,El servicio de préstamos se nota que es eficiente lo que me da mucha tranquilidad.
Positivo,El soporte por chat es verdaderamente rápida justo lo que buscaba.
Positivo,La tarjeta de débito resulta ser muy segura realmente superó mis expectativas.
Positivo,El cajero automático siempre funciona de forma eficiente justo lo que buscaba.
Positivo,El soporte por chat me parece que es amigable la mejor experiencia que he tenido.
Negativo,La aplicación se ha vuelto lenta es una falta de respeto.
Positivo,El portal web resulta ser muy profesional muy recomendable para todos.
Positivo,La tarjeta de débito siempre funciona de forma profesional justo lo que buscaba.
Negativo,La aplicación resulta ser una mediocre estoy muy insatisfecho.
Negativo,La tarjeta de débito resulta ser una mediocre es una falta de respeto.
Negativo,La gestión de mi hipoteca se ha vuelto pésima muy frustrante el proceso.
Positivo,El cajero automático resulta ser muy rápida y no tengo quejas.
Positivo,El soporte por chat siempre funciona de forma excelente un gran beneficio para mí.
Positivo,El cajero automático me parece que es excelente realmente superó mis expectativas.
Positivo,La tarjeta de débito me parece que es profesional justo lo que buscaba.
Positivo,La aplicación es verdaderamente profesional y no tengo quejas.
Negativo,El soporte por chat es bastante lenta muy frustrante el proceso.
Positivo,El portal web se nota que es segura y el proceso fue muy fluido.
Negativo,La tarjeta de débito resulta ser una confusa exijo una solución pronto.
Negativo,La tarjeta de débito se ha vuelto deficiente estoy muy insatisfecho.
Positivo,El servicio de préstamos es verdaderamente rápida la mejor experiencia que he tenido.
Positivo,El soporte por chat siempre funciona de forma amigable justo lo que buscaba.
Negativo,El soporte por chat se ha vuelto lenta y me hace perder mucho tiempo.
Positivo,La aplicación me parece que es eficiente lo que me da mucha tranquilidad.
Negativo,El servicio de préstamos resulta ser una ineficiente es una falta de respeto.
Positivo,La aplicación se nota que es transparente justo lo que buscaba.
Positivo,La gestión de mi hipoteca resulta ser muy rápida y no tengo quejas.
Positivo,La atención en ventanilla resulta ser muy transparente la mejor experiencia que he tenido.
Negativo,La gestión de mi hipoteca se ha vuelto complicada no lo recomendaría a nadie.
Negativo,La tarjeta de débito me parece muy ineficiente un desastre total.
Positivo,El soporte por chat es verdaderamente excelente y el proceso fue muy fluido.
Positivo,Mi banca en línea me parece que es eficiente y no tengo quejas.
Positivo,El servicio de préstamos siempre funciona de forma segura realmente superó mis expectativas.
Negativo,La gestión de mi hipoteca resulta ser una deficiente y me hace perder mucho tiempo.
Negativo,El cajero automático resulta ser una deficiente muy frustrante el proceso.
Positivo,La atención en ventanilla me parece que es rápida realmente superó mis expectativas.
Negativo,El cajero automático está funcionando de forma decepcionante es una falta de respeto.
Negativo,El asesor financiero se ha vuelto decepcionante y me hace perder mucho tiempo.
Negativo,El soporte por chat me parece muy ineficiente muy frustrante el proceso.
Positivo,El asesor financiero se nota que es rápida realmente superó mis expectativas.
Negativo,El cajero automático me parece muy decepcionante exijo una solución pronto.
Negativo,La atención en ventanilla se ha vuelto lenta exijo una solución pronto.
Positivo,La atención en ventanilla resulta ser muy rápida justo lo que buscaba.
Negativo,La gestión de mi hipoteca resulta ser una lenta no lo recomendaría a nadie.
Negativo,El portal web me parece muy pésima estoy muy insatisfecho.
Negativo,Mi banca en línea resulta ser una deficiente y me hace perder mucho tiempo.
Positivo,La tarjeta de débito es verdaderamente transparente un gran beneficio para mí.
Negativo,El asesor financiero me parece muy decepcionante muy frustrante el proceso.
Negativo,La tarjeta de débito resulta ser una deficiente y me hace perder mucho tiempo.
Positivo,La atención en ventanilla siempre funciona de forma transparente muy recomendable para todos.
Positivo,El cajero automático me parece que es amigable y no tengo quejas.
Positivo,El asesor financiero resulta ser muy rápida y el proceso fue muy fluido.
Positivo,El soporte por chat es verdaderamente impecable la mejor experiencia que he tenido.
Negativo,El cajero automático se ha vuelto pésima muy frustrante el proceso.
Positivo,La tarjeta de débito resulta ser muy amigable y el proceso fue muy fluido.
Negativo,El portal web está funcionando de forma pésima y las comisiones son un robo.
Positivo,El soporte por chat es verdaderamente transparente realmente superó mis expectativas.
Negativo,La aplicación me parece muy deficiente un desastre total.
Positivo,La aplicación me parece que es eficiente muy recomendable para todos.
Positivo,El cajero automático resulta ser muy rápida muy recomendable para todos.
Positivo,El asesor financiero resulta ser muy amigable muy recomendable para todos.
Negativo,El servicio de préstamos es bastante confusa y las comisiones son un robo.
Positivo,La gestión de mi hipoteca me parece que es profesional y el proceso fue muy fluido.
Negativo,El portal web se ha vuelto ineficiente estoy muy insatisfecho.
Positivo,La atención en ventanilla es verdaderamente segura y no tengo quejas.
Negativo,La tarjeta de débito es bastante ineficiente exijo una solución pronto.
Negativo,La aplicación me parece muy mediocre un desastre total.
Positivo,La gestión de mi hipoteca me parece que es segura y el proceso fue muy fluido.
Positivo,La atención en ventanilla es verdaderamente profesional y no tengo quejas.
Positivo,El soporte por chat resulta ser muy transparente justo lo que buscaba.
Positivo,El cajero automático resulta ser muy profesional lo que me da mucha tranquilidad.
Positivo,El asesor financiero me parece que es segura justo lo que buscaba.
Positivo,Mi banca en línea me parece que es rápida la mejor experiencia que he tenido.
Positivo,La gestión de mi hipoteca resulta ser muy profesional realmente superó mis expectativas.
Positivo,El asesor financiero se nota que es impecable y el proceso fue muy fluido.
Positivo,El cajero automático me parece que es segura y no tengo quejas.
Negativo,La aplicación se ha vuelto decepcionante y las comisiones son un robo.
Positivo,El servicio de préstamos resulta ser muy impecable lo que me da mucha tranquilidad.
Positivo,Es la mejor aplicación del mundo me encanta.
Positivo,Es la mejor .
Positivo,Es la mejor aplicación.
Positivo,Es la mejor del mundo.
Positivo,Es la mejor me encanta.
Positivo,Me encanta es la mejor.
Positivo,La aplicación me encanta es la mejor de todas
Positivo,De todas las apps esta es la mejor
Positivo,Me encanta.
Positivo,Esta es la mejor aplicación que he probado
Positivo,Me encanta esta aplicación es de las mejores
Positivo,Esta app me encanta
Positivo,Es de las mejores del mundo.
Positivo,Es la mejor aplicación del mundo me encanta.
Positivo,Es la mejor .
Positivo,Es la mejor aplicación.
Positivo,Es la mejor del mundo.
Positivo,Es la mejor me encanta.
Positivo,Me encanta es la mejor.
Positivo,La aplicación me encanta es la mejor de todas
Positivo,De todas las apps esta es la mejor
Positivo,Me encanta.
Positivo,Esta es la mejor aplicación que he probado
Positivo,Me encanta esta aplicación es de las mejores
Positivo,Esta app me encanta
Positivo,Es de las mejores del mundo.
Positivo,Es la mejor aplicación del mundo me encanta.
Positivo,Es la mejor .
Positivo,Es la mejor aplicación.
Positivo,Es la mejor del mundo.
Positivo,Es la mejor me encanta.
Positivo,Me encanta es la mejor.
Positivo,La aplicación me encanta es la mejor de todas
Positivo,De todas las apps esta es la mejor
Positivo,Muy buen servicio
Positivo,Muy buen servicio por parte del banco
Positivo,Muy buen servicio de la app
Positivo,Muy buen servicio el que ofrece este banco
Positivo,Muy buen servicio por parte de la aplicación 
Positivo,Buen servicio el que ofrece la app
Positivo,Muy buena la aplicación
Positivo,El sistema de este banco es muy bueno 
Positivo,Muy buena atencion por parte del banco
Positivo,Muy buena su atencion hacia sus clientes
Positivo,La atencion de este banco es muy buena
Positivo,Muy buen servicio al cliente
Positivo,Muy buen servicio al cliente por parte del banco
Positivo,Muy buen servicio al cliente por por parte de la aplicación
Positivo,Muy buenos sus servicios me encantan
Positivo,Estoy muy contento con sus servicios
Positivo,Muy buena atencion por parte del banco
Positivo,Muy buena la rapidez con la que resuelven los problemas
Positivo,Muy buen servicio
Positivo,Muy buen servicio por parte del banco
Positivo,Muy buen servicio de la app
Positivo,Muy buen servicio el que ofrece este banco
Positivo,Muy buen servicio por parte de la aplicación 
Positivo,Buen servicio el que ofrece la app
Positivo,Muy buena la aplicación
Positivo,El sistema de este banco es muy bueno 
Positivo,Muy buena atencion por parte del banco
Positivo,Muy buena su atencion hacia sus clientes
Positivo,La atencion de este banco es muy buena
Positivo,Muy buen servicio al cliente
Positivo,Muy buen servicio al cliente por parte del banco
Positivo,Muy buen servicio al cliente por por parte de la aplicación
Positivo,Muy buenos sus servicios me encantan
Positivo,Estoy muy contento con sus servicios
Positivo,Muy buena atencion por parte del banco
Positivo,Muy buena la rapidez con la que resuelven los problemas
Positivo,Muy buen servicio
Positivo,Muy buen servicio por parte del banco
Positivo,Muy buen servicio de la app
Positivo,Muy buen servicio el que ofrece este banco
Positivo,Muy buen servicio por parte de la aplicación 
Positivo,Buen servicio el que ofrece la app
Positivo,Muy buena la aplicación
Positivo,El sistema de este banco es muy bueno 
Positivo,Muy buena atencion por parte del banco
Positivo,Muy buena su atencion hacia sus clientes
Positivo,La atencion de este banco es muy buena
Positivo,Muy buen servicio al cliente
Positivo,Muy buen servicio al cliente por parte del banco
Positivo,Muy buen servicio al cliente por por parte de la aplicación
Positivo,Muy buenos sus servicios me encantan
Positivo,Estoy muy contento con sus servicios
Positivo,Muy buena atencion por parte del banco
Positivo,Muy buena la rapidez con la que resuelven los problemas
Positivo,Muy buen servicio
Positivo,Muy buen servicio por parte del banco
Positivo,Muy buen servicio de la app
Positivo,Muy buen servicio el que ofrece este banco
Positivo,Muy buen servicio por parte de la aplicación 
Positivo,Buen servicio el que ofrece la app
Negativo,Porqueria de aplicación.
Negativo,Esta app es una porqueria.
Negativo,Porqueria de app.
Negativo,De lo peor que he usado en mi vida
Negativo,Es de las peores aplicaciones sin duda
Negativo,De las peores apps
Negativo,De lo peor que he usado .
Negativo,De lo que peor que hay.
Negativo,De lo peor que hay en el mercado.
Negativo,De las peores aplicaciones que hay en cuanto a servicios bancarios.
Negativo,Es de las peores aplicaciones que he probado.
Negativo,Es de lo peor que he podido probar.
Negativo,Es de las peores aplicaciones que he podido usar hasta ahora.
Negativo,Sin duda es de las peores aplicaciones.
Negativo,Una tristeza que el banco haga perder el tiempo a sus clientes de esta manera.
Negativo,Pesimo el servicio que ofrecen.
Negativo,Fatal la falta de profesionalismo por parte del banco.
Negativo,Fatal la falta de profesionalismo por parte de la empresa.
Negativo,Es horrible lo que le hacen a sus clientes.
Negativo,Nada util.
Negativo,Esta app no es nada util.
Negativo,No es para nada util esta aplicación 
Negativo,De util no tiene nada son muy malos sus servicios
Negativo,De util no tiene nada.
Negativo,No es de utilidad la app
Negativo,Su utilidad es muy lenta.
Negativo,Es una pena que no sea nada util.
Negativo,Es inutil.
Negativo,Esta app es inutil
Negativo,Esta app es inutil no sirve 
Negativo,Esta aplicación es inutil no sirve
Negativo,Es inutil no funciona con nada
Negativo,Quiero comentar que esta app es inutil no sirve
Negativo,Estoy muy decepcionado
Negativo,Estoy muy decepcionado con la app
Negativo,La aplicación es una decepcion.
Negativo,Es inutil es muy decepcionante.
Negativo,Porqueria de aplicación.
Negativo,Esta app es una porqueria.
Negativo,Porqueria de app.
Negativo,De lo peor que he usado en mi vida
Negativo,Es de las peores aplicaciones sin duda
Negativo,De las peores apps
Negativo,De lo peor que he usado .
Negativo,De lo que peor que hay.
Negativo,De lo peor que hay en el mercado.
Negativo,De las peores aplicaciones que hay en cuanto a servicios bancarios.
Negativo,Es de las peores aplicaciones que he probado.
Negativo,Es de lo peor que he podido probar.
Negativo,Es de las peores aplicaciones que he podido usar hasta ahora.
Negativo,Sin duda es de las peores aplicaciones.
Negativo,Una tristeza que el banco haga perder el tiempo a sus clientes de esta manera.
Negativo,Pesimo el servicio que ofrecen.
Negativo,Fatal la falta de profesionalismo por parte del banco.
Negativo,Fatal la falta de profesionalismo por parte de la empresa.
Negativo,Es horrible lo que le hacen a sus clientes.
Negativo,Nada util.
Negativo,Esta app no es nada util.
Negativo,No es para nada util esta aplicación 
Negativo,De util no tiene nada son muy malos sus servicios
Negativo,De util no tiene nada.
Negativo,No es de utilidad la app
Negativo,Su utilidad es muy lenta.
Negativo,Es una pena que no sea nada util.
Negativo,Es inutil.
Negativo,Esta app es inutil
Negativo,Esta app es inutil no sirve 
Negativo,Esta aplicación es inutil no sirve
Negativo,Es inutil no funciona con nada
Negativo,Quiero comentar que esta app es inutil no sirve
Negativo,Estoy muy decepcionado
Negativo,Estoy muy decepcionado con la app
Negativo,La aplicación es una decepcion.
Negativo,Es inutil es muy decepcionante.
Negativo,Porqueria de aplicación.
Negativo,Esta app es una porqueria.
Negativo,Porqueria de app.
Negativo,De lo peor que he usado en mi vida
Negativo,Es de las peores aplicaciones sin duda
Negativo,De las peores apps
Negativo,De lo peor que he usado .
Negativo,De lo que peor que hay.
Negativo,De lo peor que hay en el mercado.
Negativo,De las peores aplicaciones que hay en cuanto a servicios bancarios.
Negativo,Es de las peores aplicaciones que he probado.
Negativo,Es de lo peor que he podido probar.
Negativo,Es de las peores aplicaciones que he podido usar hasta ahora.
Negativo,Sin duda es de las peores aplicaciones.
Negativo,Una tristeza que el banco haga perder el tiempo a sus clientes de esta manera.
Negativo,Pesimo el servicio que ofrecen.
Negativo,Fatal la falta de profesionalismo por parte del banco.
Negativo,Fatal la falta de profesionalismo por parte de la empresa.
Negativo,Es horrible lo que le hacen a sus clientes.
Negativo,Nada util.
Negativo,Esta app no es nada util.
Negativo,No es para nada util esta aplicación 
Negativo,De util no tiene nada son muy malos sus servicios
Negativo,De util no tiene nada.
Negativo,No es de utilidad la app
Negativo,Su utilidad es muy lenta.
Negativo,Es una pena que no sea nada util.
Negativo,Es inutil.
Negativo,Esta app es inutil
Negativo,Esta app es inutil no sirve 
Negativo,Esta aplicación es inutil no sirve
Negativo,Es inutil no funciona con nada
Negativo,Quiero comentar que esta app es inutil no sirve
Negativo,Estoy muy decepcionado
Negativo,Estoy muy decepcionado con la app
Negativo,La aplicación es una decepcion.
Negativo,Es inutil es muy decepcionante.
Negativo,Porqueria de aplicación.
Negativo,Esta app es una porqueria.
Negativo,Porqueria de app.
Negativo,De lo peor que he usado en mi vida
Negativo,Es de las peores aplicaciones sin duda
Negativo,De las peores apps
Negativo,De lo peor que he usado .
Negativo,De lo que peor que hay.
Negativo,De lo peor que hay en el mercado.
Negativo,De las peores aplicaciones que hay en cuanto a servicios bancarios.
Negativo,Es de las peores aplicaciones que he probado.
Negativo,Es de lo peor que he podido probar.
Negativo,Es de las peores aplicaciones que he podido usar hasta ahora.
Negativo,Sin duda es de las peores aplicaciones.
Negativo,Una tristeza que el banco haga perder el tiempo a sus clientes de esta manera.
Negativo,Pesimo el servicio que ofrecen.
Negativo,Fatal la falta de profesionalismo por parte del banco.
Negativo,Fatal la falta de profesionalismo por parte de la empresa.
Negativo,Es horrible lo que le hacen a sus clientes.
Negativo,Nada util.
Negativo,Esta app no es nada util.
Negativo,No es para nada util esta aplicación 
Negativo,De util no tiene nada son muy malos sus servicios
Negativo,De util no tiene nada.
Negativo,No es de utilidad la app
Negativo,Su utilidad es muy lenta.
Negativo,Es una pena que no sea nada util.
Negativo,Es inutil.
Negativo,Esta app es inutil
Negativo,Esta app es inutil no sirve 
Negativo,Esta aplicación es inutil no sirve
Negativo,Es inutil no funciona con nada
Negativo,Quiero comentar que esta app es inutil no sirve
Negativo,Estoy muy decepcionado
Negativo,Estoy muy decepcionado con la app
Negativo,La aplicación es una decepcion.
Negativo,Es inutil es muy decepcionante.
Negativo,Porqueria de aplicación.
Negativo,Esta app es una porqueria.
Negativo,Porqueria de app.
Negativo,De lo peor que he usado en mi vida
Negativo,Es de las peores aplicaciones sin duda
Negativo,De las peores apps
Negativo,De lo peor que he usado .
Negativo,De lo que peor que hay.
Negativo,De lo peor que hay en el mercado.
Negativo,De las peores aplicaciones que hay en cuanto a servicios bancarios.
Negativo,Es de las peores aplicaciones que he probado.
Negativo,Es de lo peor que he podido probar.
Negativo,Es de las peores aplicaciones que he podido usar hasta ahora.
Negativo,Sin duda es de las peores aplicaciones.
Negativo,Una tristeza que el banco haga perder el tiempo a sus clientes de esta manera.
Negativo,Pesimo el servicio que ofrecen.
Negativo,Fatal la falta de profesionalismo por parte del banco.
Negativo,Fatal la falta de profesionalismo por parte de la empresa.
Negativo,Es horrible lo que le hacen a sus clientes.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,Es muy buena y util.
Positivo,El servicio es bueno y de mucha utilidad.
Positivo,Me encanta lo util que es 
Positivo,Super rapida y util.
Positivo,Lo mejor es su utilidad.
Positivo,Lo mejor que tiene la app es lo util que es.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,Es muy buena y util.
Positivo,El servicio es bueno y de mucha utilidad.
Positivo,Me encanta lo util que es 
Positivo,Super rapida y util.
Positivo,Lo mejor es su utilidad.
Positivo,Lo mejor que tiene la app es lo util que es.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,Es muy buena y util.
Positivo,El servicio es bueno y de mucha utilidad.
Positivo,Me encanta lo util que es 
Positivo,Super rapida y util.
Positivo,Lo mejor es su utilidad.
Positivo,Lo mejor que tiene la app es lo util que es.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,Es muy buena y util.
Positivo,El servicio es bueno y de mucha utilidad.
Positivo,Me encanta lo util que es 
Positivo,Super rapida y util.
Positivo,Lo mejor es su utilidad.
Positivo,Lo mejor que tiene la app es lo util que es.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,Es muy buena y util.
Positivo,El servicio es bueno y de mucha utilidad.
Positivo,Me encanta lo util que es 
Positivo,Super rapida y util.
Positivo,Lo mejor es su utilidad.
Positivo,Lo mejor que tiene la app es lo util que es.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,Es muy buena y util.
Positivo,El servicio es bueno y de mucha utilidad.
Positivo,Me encanta lo util que es 
Positivo,Super rapida y util.
Positivo,Lo mejor es su utilidad.
Positivo,Lo mejor que tiene la app es lo util que es.
Positivo,Si es util.
Positivo,Es muy util.
Positivo,Es de mucha utilidad.
Positivo,Es de las apps mas utiles que he probado.
Positivo,Esta aplicación es muy util.
Positivo,Me encanta que esta app es muy util.
Positivo,La aplicación es de mucha utilidad.
Positivo,Me gusta mucho lo util que es.
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,El servicio es increible.
Positivo,Es increible lo bueno que es este servicio
Positivo,Increible lo rapido que es la app
Positivo,Increible lo bueno que es 
Positivo,El servicio es fabuloso.
Positivo,Es fabuloso lo bueno que es este servicio
Positivo,Fabuloso lo rapido que es la app
Positivo,Fabuloso lo bueno que es 
Positivo,El servicio es sorprendente.
Positivo,Es sorprendente lo bueno que es este servicio
Positivo,Sorprendente lo rapido que es la app
